id,probability,payoutMultiplier
897,1000000,153.18
898,1000000,243.35
899,1000000,251.17
900,1000000,32.86
901,1000000,248.59
902,1000000,282.49
903,1000000,229.33
904,1000000,184.56
905,1000000,273.16
906,1000000,227.57
907,1000000,33.81
908,1000000,337.46
909,1000000,58.42
910,1000000,101.25
911,1000000,77.11
912,1000000,89.0
913,1000000,0.08
914,1000000,0.19
915,1000000,75.57
916,1000000,50.54
917,1000000,222.65
918,1000000,0.07
919,1000000,268.87
920,1000000,60.58
921,1000000,16.89
922,1000000,197.62
923,1000000,162.94
924,1000000,30.22
925,1000000,72.87
926,1000000,247.86
927,1000000,338.48
928,1000000,0.03
929,1000000,79.18
930,1000000,17.85
931,1000000,0.24
932,1000000,180.28
933,1000000,1.86
934,1000000,0.56
935,1000000,206.01
936,1000000,338.82
937,1000000,145.35
938,1000000,1.17
939,1000000,154.0
940,1000000,225.35
941,1000000,22.48
942,1000000,256.97
943,1000000,29.87
944,1000000,3.75
945,1000000,11.96
946,1000000,154.16
947,1000000,182.77
948,1000000,179.84
949,1000000,1.19
950,1000000,65.49
951,1000000,1.37
952,1000000,211.52
953,1000000,6.2
954,1000000,28.45
955,1000000,0.69
956,1000000,1.0
957,1000000,280.31
958,1000000,4.37
959,1000000,346.94
960,1000000,11.74
961,1000000,176.78
962,1000000,43.93
963,1000000,37.07
964,1000000,223.4
965,1000000,0.13
966,1000000,62.16
967,1000000,231.62
968,1000000,180.1
969,1000000,106.49
970,1000000,0.32
971,1000000,55.42
972,1000000,153.85
973,1000000,0.16
974,1000000,233.99
975,1000000,87.83
976,1000000,123.3
977,1000000,174.69
978,1000000,10.01
979,1000000,0.16
980,1000000,174.25
981,1000000,45.43
982,1000000,35.64
983,1000000,33.46
984,1000000,133.23
985,1000000,236.71
986,1000000,8.93
987,1000000,154.7
988,1000000,79.12
989,1000000,156.37
990,1000000,182.89
991,1000000,4.54
992,1000000,387.38
993,1000000,0.01
994,1000000,89.8
995,1000000,4.09
996,1000000,255.69
997,1000000,177.21
998,1000000,125.13
999,1000000,66.89
1000,1000000,145.45
1001,1000000,93.87
1002,1000000,33.2
1003,1000000,198.23
1004,1000000,263.87
1005,1000000,236.4
1006,1000000,10.37
1007,1000000,316.67
1008,1000000,153.74
1009,1000000,13.77
1010,1000000,247.09
1011,1000000,212.02
1012,1000000,42.54
1013,1000000,136.06
1014,1000000,1.37
1015,1000000,291.33
1016,1000000,120.32
1017,1000000,227.83
1018,1000000,6.96
1019,1000000,175.09
1020,1000000,217.35
1021,1000000,196.1
1022,1000000,49.96
1023,1000000,2.85
1024,1000000,156.33
1025,1000000,185.05
1026,1000000,155.54
1027,1000000,131.57
1028,1000000,89.44
1029,1000000,243.5
1030,1000000,68.32
1031,1000000,344.11
1032,1000000,132.1
1033,1000000,218.53
1034,1000000,12.26
1035,1000000,138.62
1036,1000000,0.43
1037,1000000,362.88
1038,1000000,157.75
1039,1000000,20.13
1040,1000000,3.32
1041,1000000,0.72
1042,1000000,248.67
1043,1000000,39.62
1044,1000000,184.73
1045,1000000,47.86
1046,1000000,169.83
1047,1000000,0.56
1048,1000000,2.45
1049,1000000,1.49
1050,1000000,2.17
1051,1000000,104.85
1052,1000000,109.07
1053,1000000,0.85
1054,1000000,46.55
1055,1000000,203.69
1056,1000000,75.87
1057,1000000,237.87
1058,1000000,226.04
1059,1000000,195.3
1060,1000000,262.28
1061,1000000,225.88
1062,1000000,109.28
1063,1000000,227.91
1064,1000000,148.04
1065,1000000,50.03
1066,1000000,282.52
1067,1000000,21.5
1068,1000000,187.25
1069,1000000,16.12
1070,1000000,13.48
1071,1000000,23.73
1072,1000000,11.96
1073,1000000,338.55
1074,1000000,4.39
1075,1000000,35.98
1076,1000000,26.8
1077,1000000,151.63
1078,1000000,325.98
1079,1000000,111.56
1080,1000000,33.82
1081,1000000,67.08
