id,criteria,baseGameWins,freeGameWins,payoutMultiplier
594,freegame,0.0,250.23,250.23
595,freegame,0.0,52.09,52.09
596,freegame,0.0,71.28,71.28
597,freegame,0.0,0.0,0.0
598,freegame,0.0,261.87,261.87
599,freegame,0.0,0.48,0.48
600,freegame,0.0,19.08,19.08
601,freegame,0.0,234.86,234.86
602,freegame,0.0,1.14,1.14
603,freegame,0.0,265.88,265.88
604,freegame,0.0,31.9,31.9
605,freegame,0.0,126.41,126.41
606,freegame,0.0,132.89,132.89
607,freegame,0.0,254.37,254.37
608,freegame,0.0,35.81,35.81
609,freegame,0.0,44.61,44.61
610,freegame,0.0,315.95,315.95
611,freegame,0.0,76.12,76.12
612,freegame,0.0,200.15,200.15
613,freegame,0.0,18.68,18.68
614,freegame,0.0,18.39,18.39
615,freegame,0.0,0.0,0.0
616,freegame,0.0,0.11,0.11
617,freegame,0.0,85.4,85.4
618,freegame,0.0,212.85,212.85
619,freegame,0.0,52.8,52.8
620,freegame,0.0,39.77,39.77
621,freegame,0.0,2.82,2.82
622,freegame,0.0,99.11,99.11
623,freegame,0.0,229.53,229.53
624,freegame,0.0,176.25,176.25
625,freegame,0.0,101.75,101.75
626,freegame,0.0,13.75,13.75
627,freegame,0.0,31.4,31.4
628,freegame,0.0,20.37,20.37
629,freegame,0.0,109.85,109.85
630,freegame,0.0,45.08,45.08
631,freegame,0.0,7.4,7.4
632,freegame,0.0,366.03,366.03
633,freegame,0.0,127.5,127.5
634,freegame,0.0,195.91,195.91
635,freegame,0.0,49.1,49.1
636,freegame,0.0,22.64,22.64
637,freegame,0.0,0.47,0.47
638,freegame,0.0,23.0,23.0
639,freegame,0.0,86.42,86.42
640,freegame,0.0,148.22,148.22
641,freegame,0.0,316.6,316.6
642,freegame,0.0,254.08,254.08
643,freegame,0.0,111.97,111.97
644,freegame,0.0,255.1,255.1
645,freegame,0.0,143.18,143.18
646,freegame,0.0,0.32,0.32
647,freegame,0.0,18.79,18.79
648,freegame,0.0,1.43,1.43
649,freegame,0.0,0.33,0.33
650,freegame,0.0,123.84,123.84
651,freegame,0.0,103.13,103.13
652,freegame,0.0,0.49,0.49
653,freegame,0.0,28.14,28.14
654,freegame,0.0,132.72,132.72
655,freegame,0.0,86.49,86.49
656,freegame,0.0,53.96,53.96
657,freegame,0.0,301.48,301.48
658,freegame,0.0,4.68,4.68
659,freegame,0.0,201.93,201.93
660,freegame,0.0,288.45,288.45
661,freegame,0.0,4.03,4.03
662,freegame,0.0,140.54,140.54
663,freegame,0.0,64.45,64.45
664,freegame,0.0,0.0,0.0
